14:47:25 11/25/2010	Sonar	Volts*100	Larry	Honk	scaled	acroname
14:47:25 11/25/2010	18	230	25	22	24	23	-4.00
14:47:25 11/25/2010	18	231	25	22	24	22	-4.00
14:47:25 11/25/2010	18	232	25	22	24	22	-4.00
14:47:25 11/25/2010	18	231	25	22	24	23	-4.00
14:47:25 11/25/2010	18	232	25	22	24	22	-4.00
14:47:26 11/25/2010	18	232	25	22	24	22	-4.00
14:47:26 11/25/2010	18	232	25	22	24	22	-4.00
14:47:26 11/25/2010	18	232	25	22	24	22	-4.00
14:47:26 11/25/2010	18	233	25	21	24	22	-4.00
14:47:26 11/25/2010	18	231	25	22	24	22	-4.00
